u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta
0.2000,0.0000,2.0000,-0.0356,-0.0034,11.7072,-81.7329,-3.2103,-0.0221,-0.0221,0.0399,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0727,2.0000,-0.0358,-0.0034,11.7063,-81.7346,-3.2099,-0.0204,-0.0204,0.0403,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0364,-0.0034,11.7027,-81.7367,-3.2101,-0.0179,-0.0179,0.0401,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0371,-0.0034,11.7042,-81.7318,-3.2077,-0.0229,-0.0229,0.0425,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0365,-0.0034,11.7003,-81.7346,-3.2101,-0.0196,-0.0196,0.0401,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0370,-0.0034,11.7050,-81.7336,-3.2086,-0.0212,-0.0212,0.0416,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0367,-0.0034,11.7007,-81.7309,-3.2085,-0.0234,-0.0234,0.0417,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0363,-0.0034,11.7038,-81.7353,-3.2101,-0.0193,-0.0193,0.0401,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0510,2.0000,-0.0363,-0.0034,11.7092,-81.7324,-3.2088,-0.0228,-0.0228,0.0414,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0359,-0.0034,11.7043,-81.7331,-3.2098,-0.0217,-0.0217,0.0404,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0583,2.0000,-0.0372,-0.0034,11.7081,-81.7313,-3.2077,-0.0238,-0.0238,0.0424,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0368,-0.0034,11.7071,-81.7371,-3.2099,-0.0180,-0.0180,0.0403,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0373,-0.0034,11.7067,-81.7362,-3.2090,-0.0188,-0.0188,0.0412,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0371,-0.0034,11.7100,-81.7330,-3.2080,-0.0224,-0.0224,0.0422,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0368,-0.0034,11.7064,-81.7369,-3.2098,-0.0181,-0.0181,0.0404,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0363,-0.0034,11.7059,-81.7306,-3.2088,-0.0243,-0.0243,0.0413,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0360,-0.0034,11.7088,-81.7340,-3.2097,-0.0213,-0.0213,0.0405,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0585,2.0000,-0.0367,-0.0034,11.7077,-81.7358,-3.2094,-0.0193,-0.0193,0.0407,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0374,-0.0034,11.7097,-81.7327,-3.2075,-0.0226,-0.0226,0.0427,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0366,-0.0034,11.7066,-81.7351,-3.2102,-0.0199,-0.0199,0.0400,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0338,-0.0034,11.6990,-81.7167,-3.2109,-0.0373,-0.0373,0.0393,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0335,-0.0034,11.7043,-81.7290,-3.2113,-0.0257,-0.0257,0.0389,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.2021,2.0000,-0.0347,-0.0034,11.7077,-81.7333,-3.2107,-0.0218,-0.0218,0.0395,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.1316,2.0000,-0.0362,-0.0034,11.7090,-81.7294,-3.2082,-0.0258,-0.0258,0.0420,0.0000,0.0000,-0.0020,-0.0008
